longitude,latitude,name,category
4.8544188,45.7468695003799,Crèche Blandan,kindergarten
4.8692917,45.7577470003784,L'Arc en ciel,kindergarten
4.8756458,45.7331359003818,Crèche André Roux,kindergarten
4.8776588,45.7359741003815,La Fourmi,school
4.8657296,45.7564448003786,CREAD École d'Architecture Intérieure,college
4.8539854,45.7333968003818,Crèche les copains d'abord,kindergarten
4.8712035,45.7399135003809,centre de formation,school
4.8509323,45.7579329003784,Crèche Boileau,kindergarten
4.8217642,45.7524104003792,Les P'Tits Malins,kindergarten
4.8678952,45.7476542003798,Groupe ACPPA - Les cristallines,kindergarten
4.8687482,45.7505852003794,Crèche Collective Montbrillant,kindergarten
4.8714225,45.7542783003789,Crèche Pain d'Épices,kindergarten
4.8507446,45.7575365003784,École maternelle Étienne Dolet,school
4.8262171,45.760772500378,Collège privé Aux Lazaristes,school
4.8296495,45.7781768003755,Halte Garderie des Canuts,kindergarten
4.8813207,45.7514807003793,Les Montchatons Acacias,kindergarten
4.8866952,45.7349297003816,École maternelle Jean Mermoz A,school
4.8862875,45.7349409003816,Crèche municipale Ranvier,kindergarten
4.8622826,45.7474229003798,Les studios Lumières,university
4.8233863,45.7781126003755,Crèche Popy,kindergarten
4.8358256,45.7302579003823,École de reconversion professionnelle Georges Guynemer,college
4.8369052,45.7363670003814,École professionnelle privée Ifosupd,school
4.8275489,45.732377000382,École maternelle,school
4.8325029,45.7645721003774,École privée mixte Saint-Nizier-Tour-Pitrat,school
4.8552157,45.7645912003774,Crêche Masséna,kindergarten
4.8250231,45.7354687003815,École maternelle Marcel Pagnol,school
4.8547305,45.7347397003816,École maternelle Philibert Delorme,school
4.8537957,45.7346644003816,École élémentaire Philibert Delorme,school
4.8692948,45.7416161003807,École primaire publique Simone Signoret,school
4.8705227,45.7447199003802,École maternelle Lumière,school
4.8737468,45.739170400381,École maternelle Maryse Bastié,school
4.8698826,45.7448485003802,École primaire Lumière,school
4.8769782,45.7343613003817,École primaire privée Junior School International,school
4.832794,45.7374966003812,École privée Notre-Dame des Anges,school
4.8250951,45.7355673003815,École élémentaire Marcel Pagnol,school
4.8576783,45.74606450038,Section d'enseignement professionnel du Lycée polyvalent Hector Guimard,school
4.8448961,45.7573794003784,École élémentaire Paul Painlevé,school
4.8324795,45.760234800378,Groupe scolaire Lamartine,school
4.8635975,45.7664605003772,École maternelle Antoine Remond,school
4.8647657,45.7585177003783,École maternelle Antoine Charial,school
4.8650692,45.7584968003783,École élémentaire Antoine Charial,school
4.865635,45.7660292003772,École primaire privée Notre-Dame de Bellecombe,school
4.8656296,45.7579037003784,École Nouvelle de La Rize,school
4.8531562,45.7661863003772,École primaire privée Saint-Nom de Jésus,school
4.7840938,45.7567064003785,École de cirque de Lyon,school
4.8230425,45.7438050003804,École élémentaire Alix,school
4.8281389,45.7687043003768,École primaire Robert Doisneau,school
4.8362621,45.7280057003826,Institut supérieur d'agriculture et d'agroalimentaire Rhône-Alpes,university
4.8059515,45.7667888003771,Relais d'assitantes maternelles Baby-Loup,kindergarten
4.8284172,45.7649286003774,École maternelle Jean Gerson,school
4.8281098,45.7651360003773,École primaire Jean Gerson,school
4.8500823,45.7611641003779,École maternelle André Philip,school
4.8502434,45.7611758003779,École élémentaire publique André Philip,school
4.828733,45.7687015003768,École maternelle Robert Doisneau,school
4.8205882,45.7615841003779,Séminaire interdiocésain Saint-Irénée,school
4.8474382,45.7453277003802,École de Condé,college
4.8837744,45.7278137003826,École maternelle Olympe de Gouges,school
4.8246025,45.7519424003792,École de Condé,college
